Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","195","Sénégal","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","70","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","272","Serbie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","90","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","197","Sierra Leone","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","31","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","199","Slovaquie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","80","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","198","Slovénie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","51","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","276","Soudan","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","54","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","38","Sri Lanka","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","110","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","210","Suède","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","185","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","211","Suisse","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","133","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","207","Suriname","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","27","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","208","Tadjikistan","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","39","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","39","Tchad","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","7","S","Données standardisées"
